x_m,r_m
-0.04023955928162365,0.06706593213603942
-0.03955753285312155,0.05968868835848176
-0.038875506424619455,0.056677615072690056
-0.038193479996117365,0.05439785347487352
-0.03751145356761527,0.052501833041898795
-0.03682942713911317,0.050854348999773605
-0.03614740071061107,0.04938578640570625
-0.035465374282108976,0.04805463659340932
-0.034783347853606886,0.04683375866717342
-0.03410132142510479,0.045704237253821084
-0.03341929499660269,0.044652256553722486
-0.032737268568100594,0.04366735572892959
-0.0320552421395985,0.04274138522245821
-0.03137321571109641,0.04186784754366776
-0.03069118928259431,0.04104146227401778
-0.030009162854092213,0.0402578684988448
-0.029327136425590115,0.03951341500503795
-0.02864510999708802,0.038805008505803415
-0.027963083568585928,0.03813000138350298
-0.02728105714008383,0.03748610704360885
-0.026599030711581734,0.03687133499708696
-0.025917004283079637,0.036283940319879505
-0.025234977854577543,0.03572238377504039
-0.024552951426075446,0.035185299967776446
-0.023870924997573352,0.034671471638301046
-0.023188898569071255,0.0341798087048317
-0.02250687214056916,0.03370933102580374
-0.021824845712067064,0.03325915410523956
-0.021142819283564967,0.03282847714998916
-0.020460792855062873,0.032416573023329814
-0.019778766426560776,0.032022779740416445
-0.019096739998058682,0.03164649322707518
-0.018414713569556585,0.03128716112122545
-0.017732687141054488,0.0309442774405969
-0.017050660712552394,0.03061737797480106
-0.016368634284050297,0.030306036286699513
-0.015686607855548203,0.0300098602291905
-0.015004581427046106,0.029728488900348425
-0.014322554998544009,0.029461589973291964
-0.013640528570041915,0.029208857347974057
-0.012958502141539818,0.028970009080848694
-0.012276475713037725,0.028744785555508988
-0.011594449284535627,0.02853294786324223
-0.01091242285603353,0.028334276367270365
-0.010230396427531437,0.02814856942843992
-0.00954836999902934,0.0279756422734541
-0.008866343570527242,0.027815325989526546
-0.008184317142025152,0.0276674666316818
-0.007502290713523055,0.027531924430911806
-0.006820264285020958,0.027408573093085344
-0.0061382378565188606,0.02729729917995074
-0.005456211428016763,0.027198001564813584
-0.004774184999514673,0.027110590956546117
-0.004092158571012576,0.027034989486521506
-0.003410132142510479,0.026971130353889143
-0.0027281057140083817,0.026918957525335574
-0.0020460792855062845,0.026878425486127358
-0.0013640528570041943,0.026849499039821118
-0.0006820264285020972,0.026832153154565053
0.0,0.02682637285441577
0.0,0.02682637285441577
0.0011965847214625265,0.027261751562067973
0.0023857158845347875,0.027694132368851012
0.0035673934892167824,0.028123515274764897
0.004741617535508511,0.028549900279809613
0.005908388023409974,0.028973287383985167
0.007067704952921172,0.029393676587291563
0.008219568324042104,0.029811067889728794
0.009363978136772769,0.030225461291296864
0.010500934391113166,0.030636856791995768
0.0116304370870633,0.031045254391825514
